Ref,Val,Package,PosX,PosY,Rot,Side
"A1","A4988","Pololu_Breakout-16_15.2x20.3mm",-303.905000,-58.110000,0.000000,top
"A2","A4988","Pololu_Breakout-16_15.2x20.3mm",-303.905000,-126.500000,0.000000,top
"A3","A4988","Pololu_Breakout-16_15.2x20.3mm",-303.905000,-92.500000,0.000000,top
"A4","A4988","Pololu_Breakout-16_15.2x20.3mm",-303.840000,-24.270000,0.000000,top
"C1","100n","C_Disc_D3.0mm_W1.6mm_P2.50mm",-306.340000,-85.250000,90.000000,top
"C2","100n","C_Disc_D3.0mm_W1.6mm_P2.50mm",-306.340000,-152.647651,90.000000,top
"C3","47u x 50V","CP_Radial_D8.0mm_P5.00mm",-299.565000,-86.402651,90.000000,top
"C4","47u x 50V","CP_Radial_D8.0mm_P5.00mm",-299.565000,-153.800302,90.000000,top
"C5","100n","C_Disc_D3.0mm_W1.6mm_P2.50mm",-306.340000,-119.750000,90.000000,top
"C6","100n","C_Disc_D3.0mm_W1.6mm_P2.50mm",-306.340000,-51.750000,90.000000,top
"C7","47u x 50V","CP_Radial_D8.0mm_P5.00mm",-299.565000,-120.902651,90.000000,top
"C8","47u x 50V","CP_Radial_D8.0mm_P5.00mm",-299.565000,-52.902651,90.000000,top
"C9","10n","C_0805_2012Metric",-172.300000,-53.625000,180.000000,top
"C10","10n","C_0805_2012Metric",-172.170000,-102.175000,180.000000,top
"C11","1n","C_0805_2012Metric",-172.500000,-41.505000,180.000000,top
"C12","1n","C_0805_2012Metric",-172.170000,-90.805000,180.000000,top
"C13","100n","C_0805_2012Metric",-181.000000,-48.385000,0.000000,top
"C14","100n","C_0805_2012Metric",-180.670000,-97.710000,0.000000,top
"C15","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-181.970000,-55.275000,0.000000,top
"C16","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-181.620000,-103.785000,0.000000,top
"C17","1n","C_0805_2012Metric",-190.580000,-38.040000,180.000000,top
"C18","1n","C_0805_2012Metric",-190.060000,-87.180000,180.000000,top
"C19","100n","C_0805_2012Metric",-199.000000,-48.530000,0.000000,top
"C20","100n","C_0805_2012Metric",-198.670000,-97.550000,0.000000,top
"C21","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-199.970000,-55.420000,0.000000,top
"C22","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-199.620000,-103.930000,0.000000,top
"C23","10n","C_0805_2012Metric",-172.430000,-126.010000,180.000000,top
"C24","10n","C_0805_2012Metric",-172.170000,-78.075000,180.000000,top
"C25","1n","C_0805_2012Metric",-172.430000,-114.805000,180.000000,top
"C26","1n","C_0805_2012Metric",-172.300000,-66.305000,180.000000,top
"C27","100n","C_0805_2012Metric",-180.930000,-121.490000,0.000000,top
"C28","100n","C_0805_2012Metric",-180.800000,-72.905000,0.000000,top
"C29","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-181.880000,-128.395000,0.000000,top
"C30","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-181.750000,-79.655000,0.000000,top
"C31","1n","C_0805_2012Metric",-190.510000,-111.375000,180.000000,top
"C32","1n","C_0805_2012Metric",-190.380000,-62.790000,180.000000,top
"C33","100n","C_0805_2012Metric",-198.930000,-121.635000,0.000000,top
"C34","100n","C_0805_2012Metric",-198.800000,-73.170000,0.000000,top
"C35","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-199.842379,-128.395000,0.000000,top
"C36","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-199.750000,-79.800000,0.000000,top
"C37","100n","C_0805_2012Metric",-227.580000,-124.245000,180.000000,top
"C38","47u x 25V","CP_Radial_D6.3mm_P2.50mm",-226.030000,-118.945000,180.000000,top
"D1","BAT54S","SOT-23",-207.348334,-42.500000,0.000000,top
